Features,Type
"[-499.4247     112.08116    -49.807816   -18.21421     13.028867
  -26.15129    -14.420481     7.6037087  -11.387849    -9.128422
    4.6242223   -5.119436    -7.7287154   -3.538107    -7.979645 ]",belly_pain
"[-5.0324100e+02  1.5562462e+02 -5.3089634e+01 -9.3387537e+00
  1.8954021e+01 -3.0361124e+01 -1.0490327e+01 -1.9197921e-01
 -2.5778471e+01 -7.8774090e+00 -1.7375965e+00 -1.9827587e+01
 -6.8324337e+00 -5.2338133e+00 -1.8699984e+01]",belly_pain
"[-4.2670706e+02  1.5733188e+02 -5.2705971e+01 -1.4524200e+01
  1.1352674e+01 -3.7552837e+01 -1.5138313e+01  3.2016623e-01
 -2.4708117e+01 -1.0134473e+01 -3.3377779e+00 -2.0508154e+01
 -7.7402949e+00 -2.0978572e+00 -1.3885005e+01]",belly_pain
"[-389.0387     168.44524    -67.22318    -17.1263      13.631199
  -41.452286   -14.52358     -1.005277   -31.23903     -8.384931
    1.8402039  -22.669641   -11.450462    -3.4937093  -13.468182 ]",belly_pain
"[-317.4329     176.0357     -62.427364    -4.4671364   17.833765
  -48.702007   -19.13612     -3.0113065  -32.13648     -8.081997
   -0.9882554  -22.390026    -5.400581    -2.4472375  -16.219673 ]",belly_pain
"[-389.52472    148.90518    -72.82749     -8.710933    16.21002
  -44.57647     -8.785513     8.60778    -25.92463     -4.4064307
    5.3361564  -19.474684    -7.0738807   -0.5348297  -13.911309 ]",belly_pain
"[-395.50275    134.50542    -40.998844    -3.8517056   10.750525
  -36.928837   -15.562063    -5.3565793  -29.510025   -12.5372
   -5.1995583  -20.710413    -8.467151    -4.7369123  -13.243527 ]",belly_pain
"[-4.3381680e+02  9.3447205e+01  1.9128580e-01 -1.0415295e+01
 -4.0812230e+00 -1.8815041e+01 -1.6638805e+01 -1.0185335e+01
 -1.7012871e+01 -1.5683461e+01 -9.2018681e+00 -8.5248165e+00
 -5.5446229e+00 -4.7740679e+00 -7.7524772e+00]",belly_pain
"[-3.9530911e+02  1.2801906e+02 -4.7220932e+01  1.3578546e+00
  6.5307579e+00 -4.4836468e+01 -9.6786184e+00 -2.1405780e+00
 -3.2203331e+01 -7.5309701e+00 -2.1458068e+00 -2.2886612e+01
 -4.9304266e+00 -3.6874846e-01 -1.1760331e+01]",belly_pain
"[-252.29735    145.54683    -58.926727   -16.598593     3.672816
  -41.37368     -9.418192     4.132543   -18.737617     2.6173766
    3.883517   -17.873196    -3.2032547   -2.2949703  -16.613443 ]",belly_pain
"[-4.28394196e+02  1.48899994e+02 -6.93061905e+01 -1.50132751e+01
  2.89524632e+01 -3.86474495e+01 -2.55400772e+01  2.09238567e+01
  1.08425565e-01 -1.13243427e+01  6.51596844e-01 -5.36657906e+00
 -5.49113369e+00 -3.30675411e+00 -1.16715384e+01]",belly_pain
"[-436.1321     123.276924   -20.165434     7.376603    18.413662
  -22.705877    -4.551062     9.97417    -11.0640335   -5.1186724
   -3.7400324  -20.31255     -8.931104     1.5885366   -7.839134 ]",belly_pain
"[-417.36902    195.04312    -93.95171     -6.475128    26.089195
  -48.660007    -2.435213     9.719329   -35.364525    -4.4261103
    2.7510016  -24.888462    -1.3951501    2.4112105  -13.354465 ]",belly_pain
"[-402.05515    153.38995   -106.980034   -21.820833    25.608883
  -38.46013      1.3046598   20.323942   -27.275318    -7.4926333
   10.10996    -16.168648    -5.925752     2.5651865   -9.670086 ]",belly_pain
"[-364.82013    151.83423   -122.37543    -24.735775    22.686073
  -46.699913     4.784121    27.372377   -28.96865     -8.646142
   12.40917    -16.313059    -8.1347065    0.8131803   -8.486115 ]",belly_pain
"[-237.06866    148.7104    -146.33049     -1.1878089   44.94896
  -58.268803     1.4422549   29.391651   -38.799988   -12.181233
   16.826696   -12.095933    -4.450805    -2.1854963  -13.255462 ]",belly_pain
"[-240.35178   150.29214  -141.18556    -4.036984   32.094738  -57.226997
   12.983917   28.182755  -39.692856   -5.166047   13.103871  -16.985456
    4.057917    4.046511  -15.504323]",burping
"[-369.66095     131.35814     -64.99535      -1.4956933    32.630295
  -26.27733     -11.04282       6.547835    -15.4899025    -5.6750407
   -5.457773    -20.774527     -3.1948948     5.9936113    -0.90784174]",burping
"[-408.19205    194.77637    -78.1031      -9.677836    29.894154
  -36.336952    -4.136757    12.627181   -26.047985    -6.9563723
    1.4564124  -21.022255    -4.2599316   -1.1029402  -18.623451 ]",burping
"[-299.38684    113.741516   -60.026676    -8.988104    13.9781275
  -35.14554     -9.058964     9.514369   -17.278963    -6.393359
    2.8870406  -11.169768    -1.242465     3.6383011   -6.9133997]",burping
"[-250.58081    124.703926   -95.40761    -15.318602    26.263527
  -31.501694     2.9891622   20.561794   -20.940308    -7.332083
    4.3531685  -15.923689    -0.634357     9.661345    -5.2026825]",burping
"[-329.8263     132.71452    -60.038795    15.782447    28.34084
  -44.755657    -7.4374104   12.4455     -25.220762    -5.290347
    4.18296    -21.637316    -8.523001    -1.5672318  -14.606917 ]",burping
"[-217.8622     152.88904   -113.24161      2.6272593   44.18964
  -54.411148   -21.562319     6.9784274  -30.135326    -0.9940581
    8.832942   -24.644468    -2.5792754    8.910306   -12.982704 ]",burping
"[-357.5416     114.446686    -6.29728     -7.0751014   -3.1481748
  -27.212439   -17.21816    -11.222933   -20.574362    -9.971468
   -8.767772   -18.065388    -5.1366224    1.4969889   -7.2731514]",burping
"[-249.26164    151.83116    -70.89622    -20.618303     5.856903
  -42.14761     -6.5072546    7.811292   -23.150618    -3.9901075
    0.460563   -21.5825      -4.664401     4.2165937   -4.6769195]",discomfort
"[-395.8958     223.3184     -77.89734      2.4307284   28.456585
  -48.66755      1.8183928   13.783871   -37.131718    -8.686738
   -2.6039667  -31.49143     -6.455999    -3.6829722  -22.540787 ]",discomfort
"[-292.7018      138.58197     -85.35644      -2.0480652    25.566454
  -37.876583      3.5490851    16.177135    -22.82789       0.43547502
    4.424652    -18.469425      3.2562635     3.3583832   -17.15733   ]",discomfort
"[-397.12057     151.24698     -65.3862       -1.9316897    21.394293
  -41.003788     -8.806436      9.512873    -22.120045     -5.8556666
   -0.9723701   -20.062885     -3.3018153    -0.94783336  -16.60997   ]",discomfort
"[-282.3102     160.53085    -74.99476    -12.361572     9.302519
  -53.326862    -7.61478     17.113747   -23.065275    -7.295751
    5.052518   -16.139633    -4.1614323    2.078505    -9.968649 ]",discomfort
"[-2.2919627e+02  1.8452292e+02 -1.0828892e+02 -1.4289325e+01
  2.0538548e+01 -5.8186749e+01 -2.8924646e+00  2.2583151e+01
 -2.8227600e+01 -4.7864690e+00  8.6138859e+00 -1.8578119e+01
 -2.0013185e-01  6.4315405e+00 -1.0741934e+01]",discomfort
"[-329.16995    166.00903    -60.387753     4.649882    35.099358
  -26.683558    -1.1059785   13.831748   -15.326392    -3.0685408
   -6.182656   -22.941475    -2.0991695   -2.7064378  -16.172401 ]",discomfort
"[-261.82266    133.9421     -48.72611    -22.98885     10.235166
  -30.23888    -22.046753     1.9843563   -7.6275945   -3.8499663
    0.6347605   -6.176677     3.2364933    2.7406888  -12.125493 ]",discomfort
"[-2.0901395e+02  1.3517390e+02 -9.6577866e+01 -3.5985176e+01
  1.9111250e+01 -2.7771587e+01 -5.3058453e+00  1.6262741e+01
 -1.8051922e+01 -1.3374050e+01  2.9350703e+00 -7.0320673e+00
  1.5141317e-01  5.8836017e+00 -2.4954576e+00]",discomfort
"[-510.84457    196.45836    -75.56486     -7.9848833   26.393318
  -44.01078     -9.928473    12.963123   -21.784678    -4.53745
    1.3411471  -21.1206      -5.6167307   -3.1496575  -17.989216 ]",discomfort
"[-453.00937    164.61502    -55.73687      3.1925652   28.895462
  -30.12714     -3.5348861    5.7892365  -27.176735    -6.4789224
    0.813814   -19.616262    -5.5907693   -2.88317    -14.007661 ]",discomfort
"[-3.18401825e+02  1.67265411e+02 -1.01554756e+02  1.17820358e+01
  4.04468079e+01 -4.46605797e+01  6.02791882e+00  1.78633499e+01
 -3.11032696e+01  1.39957473e-01  7.23666382e+00 -1.57283964e+01
  9.25377941e+00  3.25468874e+00 -1.69121895e+01]",discomfort
"[-343.40988    190.79735     -8.8242235    5.0022063   23.80729
  -20.762417    -6.03358      9.240794   -12.550128     1.6795384
   13.080809    -8.075556    -2.8861847    6.6217837   -8.425029 ]",discomfort
"[-554.887      201.52206    -33.067265    12.458403    33.7799
  -36.273216    -9.164898    19.392721   -16.501038    -9.138971
    6.5185556  -13.419463    -8.126878     3.155011    -7.499127 ]",discomfort
"[-449.86368    179.8034      -8.296233   -33.4173       7.133553
   -1.1436955  -13.912196    -9.409626    -8.526536    -3.0109606
    1.415322    -5.1161833   -7.641587    -7.359199   -10.609774 ]",discomfort
"[-491.09457     126.16937      11.670261    -14.912604      3.7010727
    0.89781934   -7.3245325    -7.888811     -8.776422     -2.3406606
    7.2285843     4.678604     -3.321029     -6.389925     -7.369896  ]",discomfort
"[-381.44116     146.63887     -10.495204    -33.137245      0.82694507
  -11.264776    -27.964556    -16.047462     -5.0188684    -4.3411593
   -4.003534     -2.3503828    -1.0153958    -5.1494927   -11.585882  ]",discomfort
"[-439.31705    139.7884      -4.5819306  -32.67953      4.0469956
    9.012248    -5.2729764  -10.094882    -9.260915    -2.7900121
    3.0378194   -1.4675084   -6.8077416   -6.266506    -6.7874894]",discomfort
"[-3.6625320e+02  1.7890126e+02 -1.3865501e+01 -3.8928745e+01
  3.3070655e+00 -1.1883561e+01 -3.0555029e+01 -1.6021212e+01
 -3.8909600e+00 -2.3693564e+00 -2.9010878e+00 -3.2776937e+00
 -2.1936163e-01 -2.7397585e+00 -1.0887220e+01]",discomfort
"[-1.8835809e+02  1.8366656e+02 -7.1602501e+01 -1.8301363e+01
  3.1754141e+01 -2.4589691e+01 -2.0181525e+00  2.3683004e+01
 -1.4402419e+01 -1.3324274e+01 -5.8883667e-01 -1.9044991e+01
 -1.2617775e+01 -1.1998088e-01 -5.9269481e+00]",discomfort
"[-508.56964     128.72554     -80.36872      -0.73951334   25.477024
  -38.75971       3.0538018    22.611427    -21.480148     -5.3271384
    7.7075334   -15.234414     -3.1781507     3.0444753   -11.134632  ]",discomfort
"[-304.14453    137.53151    -48.086357   -12.27783      6.551328
  -37.877007    -6.8887396   14.617408   -13.80504     -5.997884
    2.7881424  -13.793764    -7.62851     -3.1676698  -13.908905 ]",discomfort
"[-586.2228     140.13278    -30.083899    10.935675    37.800827
  -11.388984     1.9459537   18.748575    -7.6612725   -1.5008662
    9.475217    -6.827534    -3.0518038    3.4582157   -7.2827497]",discomfort
"[-342.28952     120.055405   -104.5337      -23.813751     20.003834
  -38.48503       0.3832547    23.145548    -22.60326      -6.9257207
   15.74716     -10.293249    -10.96085      -0.99608094   -7.490691  ]",discomfort
"[-488.83807    138.60236    -45.34293    -12.816395    15.009723
  -30.035076    -9.013037    16.989832    -9.390695    -7.550331
    5.3753514   -9.947056    -8.919624    -0.5983858   -9.471881 ]",discomfort
"[-265.64914    134.41496    -96.22351    -19.94444     13.617352
  -42.273296     4.0972676   17.961351   -28.440104    -2.4514017
    9.944603   -24.12705     -6.7623506    9.201861   -11.651779 ]",discomfort
"[-226.19237    162.77248    -97.48634    -36.68519      5.28746
  -42.47751     -3.9570372    7.72804    -26.708061     1.3614122
    7.62329    -21.501377    -2.0809674    6.430484    -9.556706 ]",discomfort
"[-713.7978     165.8465     -55.063244     1.766715    22.625328
  -37.555202    -2.4812477   15.6122675  -17.896208    -1.1241977
    4.581656   -15.158373     2.282222     5.0913477  -11.831674 ]",hungry
"[-5.2343182e+02  1.3742322e+02 -1.8293631e+01  1.6314410e-02
  1.8337383e+01 -2.1331781e+01 -9.2188969e+00  9.8657312e+00
 -9.5529137e+00 -7.6192684e+00  9.8301935e-01 -1.1266932e+01
 -7.5624347e+00  2.7013212e-01 -9.6909151e+00]",hungry
"[-272.63913    159.18773   -119.38523    -13.6177635   34.552437
  -47.279827    -5.5130816   16.2045     -33.750713    -5.657876
   12.900755   -19.935583    -1.6478219   13.783229    -7.434593 ]",hungry
"[-207.56749    159.3339     -44.609962    -5.867236    14.069979
  -30.914085     4.537999    21.962362   -13.176929    -6.544196
   -1.0908064  -16.349878    -2.698675     1.7279724   -9.769921 ]",hungry
"[-301.9556     109.409225   -28.407911   -11.756661    11.044582
  -22.239416   -22.206156    -7.515072   -12.575789    -9.905396
   -8.55113    -11.174028    -1.6771806   -0.8571939   -5.793822 ]",hungry
"[-6.1032458e+02  1.4127507e+02 -4.8330952e+01 -1.9192837e+01
  1.0555733e+01 -2.6425142e+01 -8.8400965e+00  7.3523836e+00
 -9.7474785e+00  2.1713318e-01  2.7025278e+00 -1.1955194e+01
 -1.9001346e+00  1.9410594e+00 -5.0604439e+00]",hungry
"[-209.5394     189.15399    -90.8119     -19.802502    34.084705
  -25.481716    -5.0441585   -1.953798   -37.464466    -4.4670143
    5.975743   -27.539375   -11.454157     3.261291   -10.09465  ]",hungry
"[-364.89584     80.19566    -35.093002   -14.971578     6.184248
  -16.126644    -4.589623     6.5919485   -9.353189    -8.968859
   -4.0136747  -11.557344    -9.320244    -2.9090226   -2.7344327]",hungry
"[-477.60916     82.48408     -7.71933    -13.275761     2.8506236
   -6.807595    -9.236546    -7.0868363  -14.302997   -14.4733305
  -10.817253   -13.654937   -12.979086    -8.082828    -4.323411 ]",hungry
"[-3.4713361e+02  1.2974684e+02 -7.0256218e+01 -1.2317227e+01
  2.7131674e+01 -2.3233488e+01 -1.2800668e+01 -3.7662337e+00
 -2.0741428e+01 -1.2670715e+00 -6.8901193e-01 -1.7833704e+01
 -2.2021797e-01  1.7674177e+00 -1.3615548e+01]",hungry
"[-3.4623712e+02  9.9146049e+01 -4.1732052e+01 -1.7596292e+01
  1.6548286e+01 -9.1798687e+00 -1.3586516e+01 -1.0124360e+01
 -1.2912639e+01 -2.2351640e-01 -2.8216805e+00 -1.3529554e+01
 -9.3596977e-01  1.3353397e+00 -1.1519169e+01]",hungry
"[-3.5551810e+02  1.0250718e+02 -2.2443365e+01 -2.0114761e+01
  3.2047539e+00 -1.1499289e+01 -1.5113549e+01 -1.8549131e+01
 -2.1991034e+01 -4.0613723e+00 -1.8925713e-01 -1.3680908e+01
 -8.1763763e+00 -1.8909495e-01 -4.0664449e+00]",hungry
"[-435.50803    171.06548    -63.296772   -15.923956    18.010574
  -34.751972   -16.832134    -9.120608   -30.596395    -1.463888
    3.269572   -21.167578    -1.811921     1.4430209  -22.688234 ]",hungry
"[-325.78613    140.0314     -81.34475    -15.200344     7.0099196
  -59.783474   -13.059035    16.135086   -31.435717   -12.53293
   18.365767    -2.678096     2.0260842    9.444683   -13.725307 ]",hungry
"[-391.6087       89.35009     -46.164318      2.518554     26.69859
  -16.116976     -3.2671874     6.358576    -16.516216     -5.8547397
    2.0860436   -12.712957     -5.3236823     0.50580424   -9.516818  ]",hungry
"[-3.62487305e+02  1.07409424e+02 -4.59357986e+01  3.35560560e+00
  2.38617401e+01 -2.43885326e+01 -6.44916725e+00  8.85147095e+00
 -1.20744057e+01 -4.95211411e+00 -4.48527241e+00 -1.66897888e+01
 -2.81189179e+00 -7.16206878e-02 -1.15016899e+01]",hungry
"[-312.34537    148.15909    -62.69702    -20.657751    16.433802
  -33.658802   -25.27108     -5.388571   -10.238979     5.5492187
   -0.8488137  -18.060808     1.0576061    3.2783442  -13.144262 ]",hungry
"[-322.77902    177.25078    -52.4167       6.0253034   42.98498
  -18.108915     3.0697603   23.13739     -9.499683    -2.337695
    4.856551   -11.352725     1.0270896    5.70963     -7.2288804]",hungry
"[-228.45622    149.70334    -73.61504     -3.5735931   19.408236
  -40.89535      1.7249924   16.565737   -23.87448     -3.1227744
    3.3677323  -21.824694    -2.9116561    5.048083   -11.412691 ]",hungry
"[-530.67676    124.37608    -56.942043    -3.117542    11.088998
  -27.452604    12.159645    10.5050745  -20.542353     7.9917154
    6.904601   -14.743278     7.558011     4.350923   -14.50779  ]",hungry
"[-282.1546     145.62761    -69.74762    -17.87737     10.660626
  -37.285847    -5.4599214    7.255091   -25.585073   -10.442881
   -2.6671083  -15.710858     2.901949     7.794167    -2.4724967]",hungry
"[-250.16246     164.82861     -97.0798        0.45820224   19.888636
  -59.161514      0.565955     19.495537    -29.542992     -1.0601459
    5.373678    -22.253077      3.2904203     8.940878     -7.2638836 ]",hungry
"[-249.08795    162.24348   -111.509674    12.406859    34.792137
  -55.711456    10.18155     27.408028   -30.25844     -0.638233
    3.454166   -25.400513     4.5136466    4.857442   -15.016176 ]",hungry
"[-255.78616    167.83586   -100.29129      3.766301    24.01028
  -60.293915    -2.7623026   17.0077     -27.183031     2.8058507
    4.711226   -21.37266      6.738081     6.6628227  -12.08158  ]",hungry
"[-284.69855    137.49915    -61.22184     -8.257466     4.9492865
  -48.039314    -5.360886    14.518167   -17.993235    -2.416559
    1.6466283  -19.741238    -4.828474     2.231057    -8.142103 ]",hungry
"[-3.4587033e+02  2.1176279e+02 -9.8961182e+01  7.5545678e+00
  3.3108395e+01 -5.6418571e+01  5.5676327e+00  2.1884050e+01
 -3.5937893e+01 -5.9015112e+00  2.2260680e+00 -2.4801804e+01
 -6.2911026e-02 -5.0192423e+00 -2.3385536e+01]",hungry
"[-3.2731467e+02  1.3362349e+02 -7.3103821e+01 -1.8488306e+01
 -1.6594279e+00 -5.6843372e+01 -1.5731953e+00  2.8520237e+01
 -2.5225668e+01 -1.8118452e+01  6.2247181e+00 -1.2762383e+01
  2.8644985e-01  1.9771751e+01  1.3001519e+00]",hungry
"[-318.74646    155.90298    -59.29264    -49.275417   -15.0386715
  -41.28612    -10.527689    17.588991   -11.872952   -16.1763
   -1.9303719   -6.722267     4.9976444   17.151691     2.2934577]",hungry
"[-346.36392    157.9498     -37.326965   -36.173683    -7.6263866
  -30.638933    -6.9299054   14.502048   -12.16964    -15.110668
   -4.5631123  -16.085098    -8.749688     9.089521     3.4858127]",hungry
"[-3.9188541e+02  1.7291173e+02 -7.2248520e+01 -4.3631253e+00
  2.8808115e+01 -3.0807539e+01  7.0165199e-01  1.1058034e+01
 -1.9920681e+01  4.2626705e+00  1.8606387e+00 -2.4188679e+01
 -5.5595852e-02  2.5098011e+00 -1.8792700e+01]",hungry
"[-350.7797      157.9293      -22.165232    -20.913206     -5.842207
  -33.61416     -14.502588     -2.1851146   -18.267225     -5.657162
   -0.58231896  -17.039852     -9.165907     -2.0971277   -12.376414  ]",hungry
"[-2.8918478e+02  1.1896018e+02 -5.2364124e+01 -3.4961029e+01
  2.4877212e+00 -2.7498661e+01 -2.0338158e+01  4.1353159e+00
 -7.1686325e+00 -1.1057076e+01 -4.3525782e+00 -8.3984699e+00
 -4.4859409e+00  1.6975470e-01 -3.6512513e+00]",hungry
"[-321.40182    134.25873    -64.51771    -13.126462    26.52698
  -30.067017   -21.37807      1.2977389  -19.626284   -10.938967
    1.0895495  -14.528238    -8.872096     0.7856341   -7.06333  ]",hungry
"[-234.84007    156.60593    -56.624947   -10.449141    23.624546
  -35.344284   -19.198246     5.730619   -20.681368   -11.966168
    0.5339194  -18.949158   -10.76891      3.4856024   -8.891485 ]",hungry
"[-327.14203     127.21996     -30.400272     -9.796507      6.9093137
  -32.57074     -18.03001       0.9530329   -17.397322    -15.64421
   -5.0346804    -6.999817     -0.76591337    4.8820205     9.6337385 ]",hungry
"[-387.6916      127.89009     -31.435686    -20.154575     -0.43678027
  -27.622704     -6.412083     10.873512    -11.59497      -8.050533
    1.0028495   -13.506471     -9.362403      1.8823174    -5.2954025 ]",hungry
"[-307.51254    150.11061    -52.640907     6.7589006   25.742926
  -52.12732    -22.99037     14.676612   -25.934517   -23.886684
    1.0024513  -15.45593    -13.012824     0.9033407  -12.48438  ]",hungry
"[-271.60938    139.5794     -93.837524   -12.811718    18.292568
  -51.70473    -13.34155     14.108227   -15.890099     2.884287
    7.2472663  -14.624712     2.2339847    2.4855223  -13.144458 ]",hungry
"[-281.35114     170.21442     -65.58585     -14.8778305    17.931513
  -42.133102    -19.654953      6.5075226   -13.419835     -3.0658877
   -0.43778124  -11.51344       5.6876802     5.9791117    -6.1316876 ]",hungry
"[-3.96195587e+02  1.25532814e+02 -3.43065071e+01  5.82186842e+00
  1.80263405e+01 -2.46468449e+01 -5.82353249e-02  5.65722942e+00
 -2.05614033e+01 -4.31044722e+00 -9.66458559e-01 -1.59458475e+01
 -6.11535132e-01 -1.74572021e-01 -1.43643284e+01]",hungry
"[-344.3027     172.84505    -45.28971      4.912903    38.979362
  -17.3176      -0.4951459   15.810502   -12.032054    -4.195527
   -1.5047941  -19.512825    -9.294791    -8.263255   -19.981617 ]",hungry
"[-363.9847      126.14264     -24.43572       0.58860046   14.315683
  -29.78148     -13.136401     10.093106     -8.603492     -7.38872
    1.6418059    -8.018299     -8.423707     -6.345443     -8.633432  ]",hungry
"[-510.20145     124.86441     -10.831401     10.573788     24.359257
  -14.606026     -6.7141447     4.188732    -12.7759905    -5.149261
    2.5664794   -10.04132      -6.8782897    -0.70250857   -6.544612  ]",hungry
"[-3.0301208e+02  1.2607512e+02 -6.3839489e+01 -2.9248657e+01
  7.3663282e+00 -3.4196686e+01 -2.2513330e+01 -2.9253322e-01
 -1.1159959e+01  1.1472878e+00  9.6522188e+00 -1.6665463e+00
  4.4709291e+00 -9.0044796e-01 -2.0697645e+01]",hungry
"[-2.5636249e+02  1.5103586e+02 -7.5935104e+01 -2.5140226e+01
  2.0378002e+01 -2.8024036e+01 -1.4075741e+01  1.4161971e+00
 -1.6529877e+01 -2.8143084e-01 -6.9811679e-02 -1.9992422e+01
 -1.4642947e+00  6.7063007e+00 -9.9261780e+00]",hungry
"[-373.22324    167.5384     -18.218634    19.175364    47.834522
   -5.40635     -5.489328     3.3331263  -13.724167    -2.9197824
   -1.8486078  -18.375517    -7.3974366   -3.4363484  -15.210013 ]",hungry
"[-352.5305      90.20611     -9.194122   -10.811955     5.348598
  -11.405305   -12.4612875   -3.3025546   -8.715669    -8.592341
   -3.1622865   -6.6130857   -8.251094    -6.2142286   -7.2927213]",hungry
"[-349.57834     89.01926     -8.561609   -11.287151     2.8085268
  -13.612295   -13.816039    -5.3570447  -12.049107   -12.727254
   -6.501631    -6.985311    -5.8656373   -3.1188843   -4.581762 ]",hungry
"[-336.8334      90.92041     -3.5871024  -14.860203    -2.753194
  -13.907736   -14.503841    -6.472898    -8.21952     -7.5481925
   -4.416094    -6.4937816   -6.9418693   -5.7026787   -5.668778 ]",hungry
"[-6.1447253e+02  9.9919594e+01 -1.9323910e+01 -4.7487502e+00
  1.2566793e+01 -1.2175652e+01 -4.9935732e+00  2.7509851e+00
 -8.8898640e+00 -2.4987559e+00 -3.5185924e-01 -1.0341700e+01
 -3.1604390e+00  7.1472967e-01 -7.4665666e+00]",hungry
"[-4.94719757e+02  6.10773888e+01 -1.47682524e+01 -4.27498102e+00
  1.04680805e+01 -3.09436774e+00  1.80635285e+00  8.49993610e+00
  4.32941973e-01  7.68402278e-01  2.32039809e+00 -3.44938684e+00
 -3.63440919e+00 -2.87934971e+00 -4.15264750e+00]",hungry
"[-259.8812     191.77553    -60.443478   -11.033745    34.580173
  -23.08963     -3.77912     18.40734    -15.649259    -8.856055
    1.9141442  -17.922289    -7.3062844    2.8480754  -10.771295 ]",hungry
"[-248.83499    208.42319    -70.82619      1.6040119   58.51522
  -19.882244    -9.594073    18.248764   -15.264276    -8.823678
    5.7758074  -10.825442    -3.4726555   -1.3888633  -16.936016 ]",hungry
"[-265.68326     130.18985     -72.00864      -4.616097     32.93597
  -22.30682       1.5523326    19.336626    -12.321573     -2.4508429
    5.9344025   -11.20769      -3.3059123    -0.28732473   -9.015877  ]",hungry
"[-4.5592651e+02  1.5529456e+02 -4.1946507e+01 -1.0341022e+01
  1.6576464e+01 -2.8735640e+01 -9.3151178e+00  6.4464602e+00
 -2.2776669e+01 -1.2876218e+01  3.8053033e-01 -1.6183039e+01
 -8.9479332e+00 -7.6357886e-02 -1.2240316e+01]",hungry
"[-414.35468    171.03612    -35.59164     -5.895404    18.964338
  -18.975218     2.5101738    5.607274   -23.461153    -9.886473
   -5.992286   -18.692991    -2.9678557   -1.8099296  -12.618206 ]",hungry
"[-309.564      162.40831    -62.644016   -15.375184    19.451696
  -32.9282     -12.128471     7.911172   -13.113357    -1.4699346
   -1.7552359  -20.320183    -6.4478617   -3.236428   -13.643484 ]",hungry
"[-360.75964    159.002      -32.3167     -12.86457     -5.0989194
  -48.16583    -16.190796     2.502252   -20.296593    -2.323134
    5.101053   -17.070831    -6.4119973    3.5995328   -7.962213 ]",hungry
"[-527.9555      98.13439     -5.0362606  -18.57159    -10.405884
  -16.704151    -2.4853969    5.0027432  -11.005633   -13.716382
   -8.154502   -12.186617    -8.393629    -0.9332535   -3.554589 ]",hungry
"[-574.8559     140.40666    -52.08612    -15.753843    13.339627
  -29.438091    -8.51342      6.6416917  -18.920198    -5.036704
    2.5976343  -19.772667    -8.814892     1.863391   -13.130482 ]",hungry
"[-3.1727722e+02  1.7790163e+02 -5.9410362e+01 -3.8641672e+00
  2.3679174e+01 -4.5472404e+01 -2.2496149e+01  2.9102764e-01
 -2.8159981e+01 -1.4415143e+01 -7.6136498e+00 -2.7008730e+01
 -1.2065924e+01 -3.7810822e+00 -1.4821589e+01]",hungry
"[-5.3092334e+02  8.1389084e+01 -1.5518215e+01 -4.2952385e+00
  5.3631859e+00 -1.3066922e+01 -1.7778488e+00 -8.5395463e-02
 -1.7131441e+01 -1.1196079e+01 -7.0699382e+00 -1.5651186e+01
 -9.9489260e+00 -6.6282549e+00 -1.1144345e+01]",hungry
